t;x;y;z;a
1607015377246584;1.9262222;0.9738788;9.755538;3
1607015379686168;2.5339992;0.76331043;9.772287;3
1607015382125751;2.2564318;-0.062213387;9.631111;3
1607015384565387;1.7826529;-0.0023928226;9.489935;3
1607015387004970;2.0937197;0.8350951;9.408579;3
1607015389444605;2.7972097;0.9523434;9.470792;3
1607015391884189;2.7565317;0.17706887;9.444471;3
1607015394323772;2.103291;-0.17228323;9.245867;3
1607015396763407;1.9597218;0.46181476;9.200403;3
1607015399202991;2.4215364;1.052842;9.332008;3
1607015401642574;2.6943183;0.66999036;9.434899;3
1607015404082209;2.3018954;-0.08853444;9.399008;3
1607015406521793;1.713261;-0.10289137;9.298509;3
1607015408961428;1.7324036;0.6269195;9.322437;3
1607015411401012;2.2061825;0.9667004;9.568898;3
1607015413840595;2.4502504;0.4019942;9.731609;3
1607015416280230;2.0793629;-0.30388847;9.674182;3
1607015418719814;1.6606189;-0.24646074;9.5665045;3
1607015421159397;1.7300107;0.44985065;9.686146;3
1607015423599032;2.1774685;0.80877405;9.958928;3
1607015426038616;2.4717858;0.34217364;10.147961;3
1607015428478251;2.2707887;-0.4019942;10.059426;3
1607015430917834;1.7635103;-0.49052864;9.77468;3
1607015433357418;1.6079768;0.17467605;9.801002;3
1607015435797053;1.8927227;0.77766734;10.080962;3
1607015438236637;2.268396;0.65324056;10.253245;3
1607015440676220;2.3928227;-0.059820566;10.057034;3
1607015443115855;2.0937197;-0.57427746;9.554541;3
1607015445555439;1.7419748;-0.3397808;9.24826;3
1607015447995022;1.7180467;0.39481574;9.45165;3
1607015450434657;2.0051854;0.8877372;9.810573;3
1607015452874241;2.292324;0.72502524;9.858429;3
1607015455313824;2.3306093;0.14117654;9.442079;3
1607015457753459;1.9716859;-0.26081768;8.829515;3
1607015460193043;1.5218352;-0.019142581;8.647661;3
1607015462632678;1.2514462;0.5455636;8.961121;3
1607015465072262;1.2562319;0.95712906;9.332008;3
1607015467511845;1.402194;0.7920243;9.317652;3
1607015469951480;1.5098711;0.16271193;8.898908;3
1607015472391064;1.3519448;-0.4642076;8.465807;3
1607015474830647;1.026521;-0.5982057;8.516056;3
1607015477270282;0.72023964;-0.21535404;9.06162;3
1607015479709866;0.64606214;0.30149564;9.712467;3
1607015482149449;0.81834537;0.48095736;10.006784;3
1607015484589084;1.1318051;0.09810573;9.858429;3
1607015487028668;1.3830515;-0.5288138;9.549755;3
1607015489468303;1.4069797;-0.9451649;9.461221;3
1607015491907887;1.1557333;-0.863809;9.817751;3
1607015494347470;0.7369894;-0.23688944;10.380065;3
1607015496787105;0.53599226;0.5168497;10.829915;3
1607015499226689;0.7513463;0.8350951;10.849058;3
1607015501666272;1.308874;0.40917268;10.3848505;3
1607015504105907;1.7874385;-0.5024927;9.779466;3
1607015506545491;1.8520447;-1.1030912;9.355937;3
1607015508985126;1.7012969;-0.6771688;9.425328;3
1607015511424709;1.8807586;0.52163535;9.9015;3
1607015513864293;2.5292134;1.3136597;10.303494;3
1607015516303928;2.9790642;0.76570326;10.114461;3
1607015518743512;2.6512475;-0.3278167;9.367901;3
1607015521183095;1.9477576;-0.49052864;8.676374;3
1607015523622730;1.8951155;0.53599226;8.693125;3
1607015526062314;2.349752;1.227518;9.2793665;3
1607015528501897;2.184647;0.7920243;9.738789;3
1607015530941532;1.3423735;0.46660042;9.640682;3
1607015533381116;1.253839;1.0767702;9.260223;3
1607015535820751;2.115255;1.1940185;9.147761;3
1607015538260334;2.1918256;0.09810573;9.265009;3
1607015540699918;1.3734802;-0.21296121;9.430114;3
1607015543139553;1.5290136;0.9595219;9.722038;3
1607015545579137;2.3234308;1.2370893;10.097712;3
1607015548018720;1.672583;0.2536392;10.097712;3
1607015550458355;0.80159557;0.50009996;9.853643;3
1607015552897939;1.5026926;1.146162;9.882358;3
1607015555337522;1.6151553;0.23688944;9.982856;3
1607015557777157;0.45702913;0.11724831;9.762716;3
1607015560216741;0.90448695;1.4548361;9.77468;3
1607015562656324;1.8137596;1.0432707;10.097712;3
1607015565095959;0.8853444;0.28953153;9.870394;3
1607015567535543;1.1772687;1.3112668;9.480363;3
1607015569975178;2.4622145;0.8877372;9.62154;3
1607015572414762;1.5553347;0.05742774;9.339187;3
1607015574854345;1.6366907;1.3112668;9.004191;3
1607015577293980;2.8522446;0.9954142;9.49472;3
1607015579733564;1.6462619;0.29671;9.379865;3
1607015582173147;1.7730815;1.5553347;8.99462;3
1607015584612782;2.7397819;0.6963114;9.470792;3
1607015587052366;1.3256238;0.31345975;9.190832;3
1607015589491949;1.9716859;1.4931214;9.075976;3
1607015591931584;2.498107;0.25842485;9.891929;3
